"mep_id","vote","vote_detail_id","description","for_score","abstention_score","against_score","type_weight","theme","time_weight"
7123,"Abstention",120717,"CAP Strategic Plans - Amendment n°1147",20,10,0,10,"Agriculture",6.7725765034661265
7123,"For",120732,"CAP Strategic Plans - Amendment n°1127",20,10,0,8,"Agriculture",6.7725765034661265
7123,"For",122462,"CAP Strategic Plans - Amendment n°1199",20,10,0,8,"Agriculture",6.7725765034661265
7123,"For",122484,"CAP Strategic Plans - Amendment n°808/2",20,10,0,8,"Agriculture",6.7725765034661265
7123,"Abstention",128209,"Fisheries Control Regulation - Amendment n° 337",20,10,0,8,"Ocean",7.8068820207135055
7123,"Abstention",128209,"Fisheries Control Regulation - Amendment n° 338",20,10,0,8,"Ocean",7.8068820207135055
7123,"Abstention",128228,"Fisheries Control Regulation - Amendment n° 306",20,10,0,8,"Ocean",7.8068820207135055
7123,"For",132419,"EU Biodiversity Strategy: Bring back Nature into our Lives - Vote on the final resolution",20,0,0,2,"Biodiversity",8.442107518455497
7123,"For",133413,"EU Biodiversity Strategy: Bring back Nature into our Lives - Paragraph 14 Split 6",20,0,0,4,"Biodiversity",8.442107518455497
7123,"For",133448,"EU Biodiversity Strategy: Bring back Nature into our Lives - Amendment 18",0,0,20,4,"Biodiversity",8.442107518455497
7123,"For",157259,"Restore Nature Rejection Amendment",0,0,20,10,"Biodiversity",8.646180179684817
