"mep_id","vote","vote_detail_id","description","for_score","abstention_score","against_score","type_weight","theme","time_weight"
6713,"For",120717,"CAP Strategic Plans - Amendment n°1147",20,10,0,10,"Agriculture",6.7725765034661265
6713,"Abstention",120732,"CAP Strategic Plans - Amendment n°1127",20,10,0,8,"Agriculture",6.7725765034661265
6713,"For",122462,"CAP Strategic Plans - Amendment n°1199",20,10,0,8,"Agriculture",6.7725765034661265
6713,"Against",122484,"CAP Strategic Plans - Amendment n°808/2",20,10,0,8,"Agriculture",6.7725765034661265
6713,"For",132419,"EU Biodiversity Strategy: Bring back Nature into our Lives - Vote on the final resolution",20,0,0,2,"Biodiversity",8.442107518455497
6713,"For",133413,"EU Biodiversity Strategy: Bring back Nature into our Lives - Paragraph 14 Split 6",20,0,0,4,"Biodiversity",8.442107518455497
6713,"Against",133448,"EU Biodiversity Strategy: Bring back Nature into our Lives - Amendment 18",0,0,20,4,"Biodiversity",8.442107518455497
6713,"Against",134449,"European Maritime and Fisheries Fund - Am n°1 - Rejection Amendment",20,10,10,10,"Ocean",8.61034718671796
6713,"Against",137338,"CAP Strategic Plans - Amendment n°1362",20,10,0,10,"Agriculture",9.287543268119878
6713,"Against",157259,"Restore Nature Rejection Amendment",0,0,20,10,"Biodiversity",8.646180179684817
